id, tier, city, note
1, 1, 北京, 一线
2, 1, 上海, 一线
3, 1, 深圳, 一线
4, 1, 广州, 一线
5, 2, 东莞, 新一线
6, 2, 南京, 新一线
7, 2, 天津, 新一线
8, 2, 武汉, 新一线
9, 2, 西安, 新一线
10, 2, 青岛, 新一线
11, 2, 宁波, 新一线
12, 2, 大连, 新一线
13, 2, 成都, 新一线
14, 2, 重庆, 新一线
15, 2, 长沙, 新一线
16, 2, 沈阳, 新一线
17, 2, 苏州, 新一线
18, 2, 杭州, 新一线
19, 2, 郑州, 新一线
20, 2, 常州, 二线
21, 2, 南通, 二线
22, 2, 昆明, 二线
23, 2, 乌鲁木齐, 二线
24, 2, 珠海, 二线
25, 2, 福州, 二线
26, 2, 台州, 二线
27, 2, 南昌, 二线
28, 2, 佛山, 二线
29, 2, 海口, 二线
30, 2, 哈尔滨, 二线
31, 2, 金华, 二线
32, 2, 惠州, 二线
33, 2, 绍兴, 二线
34, 2, 长春, 二线
35, 2, 烟台, 二线
36, 2, 兰州, 二线
37, 2, 徐州, 二线
38, 2, 石家庄, 二线
39, 2, 合肥, 二线
40, 2, 嘉兴, 二线
41, 2, 太原, 二线
42, 2, 无锡, 二线
43, 2, 厦门, 二线
44, 2, 中山, 二线
45, 2, 南宁, 二线
46, 2, 济南, 二线
47, 2, 泉州, 二线
48, 2, 温州, 二线
49, 2, 贵阳, 二线
50, 3, 桂林, 三线
51, 3, 丹东, 三线
52, 3, 秦皇岛, 三线
53, 3, 西宁, 三线
54, 3, 宜昌, 三线
55, 3, 汕头, 三线
56, 3, 马鞍山, 三线
57, 3, 淮安, 三线
58, 3, 潍坊, 三线
59, 3, 延边朝鲜族自治州, 三线
60, 3, 宁德, 三线
61, 3, 扬州, 三线
62, 3, 鞍山, 三线
63, 3, 咸阳, 三线
64, 3, 舟山, 三线
65, 3, 龙岩, 三线
66, 3, 淄博, 三线
67, 3, 包头, 三线
68, 3, 肇庆, 三线
69, 3, 盐城, 三线
70, 3, 衡阳, 三线
71, 3, 泰州, 三线
72, 3, 揭阳, 三线
73, 3, 营口, 三线
74, 3, 蚌埠, 三线
75, 3, 荆州, 三线
76, 3, 盘锦, 三线
77, 3, 柳州, 三线
78, 3, 湖州, 三线
79, 3, 大庆, 三线
80, 3, 连云港, 三线
81, 3, 吉林, 三线
82, 3, 银川, 三线
83, 3, 丽江, 三线
84, 3, 株洲, 三线
85, 3, 呼和浩特, 三线
86, 3, 赣州, 三线
87, 3, 清远, 三线
88, 3, 邯郸, 三线
89, 3, 泰安, 三线
90, 3, 齐齐哈尔市, 三线
91, 3, 南阳, 三线
92, 3, 三亚, 三线
93, 3, 岳阳, 三线
94, 3, 芜湖, 三线
95, 3, 三明, 三线
96, 3, 抚顺, 三线
97, 3, 唐山, 三线
98, 3, 九江, 三线
99, 3, 绵阳, 三线
100, 3, 孝感, 三线
101, 3, 莆田, 三线
102, 3, 南平, 三线
103, 3, 襄阳, 三线
104, 3, 上饶, 三线
105, 3, 衢州, 三线
106, 3, 丽水, 三线
107, 3, 廊坊, 三线
108, 3, 洛阳, 三线
109, 3, 湛江, 三线
110, 3, 临沂, 三线
111, 3, 镇江, 三线
112, 3, 南充, 三线
113, 3, 东营, 三线
114, 3, 漳州, 三线
115, 3, 江门, 三线
116, 3, 沧州, 三线
117, 3, 保定, 三线
118, 3, 济宁, 三线
119, 3, 威海, 三线
